CatchId,Stage,Number of Cells,SurfaceArea (m2),BedArea (m2),Volume (m3),SLOPE,LENGTHKM,AREASQKM,Roughness,TopWidth (m),WettedPerimeter (m),WetArea (m2),HydraulicRadius (m),Discharge (m3s-1)
3360050,15.8496,57,142500.0,142500.942051,1875650.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3915.76306204,13.1623726813,1380.60419874
3360050,16.1544,57,142500.0,142500.942051,1919084.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4006.43947122,13.4671706663,1434.29832346
3360050,16.4592,57,142500.0,142500.942051,1962518.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4097.11588041,13.7719686514,1488.8087987
3360050,16.764,57,142500.0,142500.942051,2005952.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4187.79228959,14.0767666364,1544.12955638
3360050,17.0688,57,142500.0,142500.942051,2049386.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4278.46869878,14.3815646214,1600.25470493
3360050,17.3736,57,142500.0,142500.942051,2092820.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4369.14510797,14.6863626064,1657.17852047
3360050,17.6784,57,142500.0,142500.942051,2136254.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4459.82151715,14.9911605914,1714.89543867
3360050,17.9832,57,142500.0,142500.942051,2179688.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4550.49792634,15.2959585764,1773.4000471
3360050,18.288,57,142500.0,142500.942051,2223122.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4641.17433552,15.6007565615,1832.68707811
3360050,18.5928,57,142500.0,142500.942051,2266556.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4731.85074471,15.9055545465,1892.75140222
3360050,18.8976,57,142500.0,142500.942051,2309990.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4822.5271539,16.2103525315,1953.58802187
3360050,19.2024,57,142500.0,142500.942051,2353424.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,4913.20356308,16.5151505165,2015.19206561
3360050,19.5072,57,142500.0,142500.942051,2396858.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5003.87997227,16.8199485015,2077.55878261
3360050,19.812,57,142500.0,142500.942051,2440292.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5094.55638145,17.1247464865,2140.68353758
3360050,20.1168,57,142500.0,142500.942051,2483726.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5185.23279064,17.4295444716,2204.56180587
3360050,20.4216,57,142500.0,142500.942051,2527160.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5275.90919982,17.7343424566,2269.18916899
3360050,20.7264,57,142500.0,142500.942051,2570594.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5366.58560901,18.0391404416,2334.56131029
3360050,21.0312,57,142500.0,142500.942051,2614028.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5457.2620182,18.3439384266,2400.67401094
3360050,21.336,57,142500.0,142500.942051,2657462.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5547.93842738,18.6487364116,2467.52314611
3360050,21.6408,57,142500.0,142500.942051,2700896.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5638.61483657,18.9535343966,2535.10468137
3360050,21.9456,57,142500.0,142500.942051,2744330.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5729.29124575,19.2583323816,2603.41466926
3360050,22.2504,57,142500.0,142500.942051,2787764.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5819.96765494,19.5631303667,2672.44924607
3360050,22.5552,57,142500.0,142500.942051,2831198.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,5910.64406413,19.8679283517,2742.20462881
3360050,22.86,57,142500.0,142500.942051,2874632.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6001.32047331,20.1727263367,2812.67711226
3360050,23.1648,57,142500.0,142500.942051,2918066.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6091.9968825,20.4775243217,2883.86306622
3360050,23.4696,57,142500.0,142500.942051,2961500.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6182.67329168,20.7823223067,2955.75893292
3360050,23.7744,57,142500.0,142500.942051,3004934.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6273.34970087,21.0871202917,3028.36122451
3360050,24.0792,57,142500.0,142500.942051,3048368.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6364.02611005,21.3919182768,3101.6665207
3360050,24.384,57,142500.0,142500.942051,3091802.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6454.70251924,21.6967162618,3175.67146646
3360050,24.6888,57,142500.0,142500.942051,3135236.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6545.37892843,22.0015142468,3250.37276995
3360050,24.9936,57,142500.0,142500.942051,3178670.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,6636.05533761,22.3063122318,3325.7672004
3360320,0.0,623,1557500.0,1557505.14686,0.0,0.0,7.584,2.3724,0.05,205.366561181,205.367239829,0.0,0.0,0.0
3360320,0.3048,753,1882500.0,1882505.46217,513750.988325,0.0,7.584,2.3724,0.05,248.219936709,248.220656932,67.7414277855,0.272908099684,0.0
3360320,0.6096,1212,3030000.0,3030011.32399,1211842.94737,0.0,7.584,2.3724,0.05,399.525316456,399.526809598,159.789418166,0.399946672732,0.0
3360320,0.9144,1662,4155000.0,4155034.1928,2313766.9199,0.0,7.584,2.3724,0.05,547.863924051,547.868432595,305.085300619,0.556858695388,0.0
